source,target,value
Gosunkugi,Misogi,1
Byakugan,head,1
Naruto,and,1
Naruto,bro,1
Grandma,Naruto,1
Grandma,Raiga,1
Grandma,Tsunade,1
Grandpa,Kakashi,1
Grandfather,Hinata,1
Grandfather,Hokage,1
Grandfather,Tsunade,1
Isaribi,Sensei,1
Guy,Hidden,1
Guy,Hinata,1
Guy,Iruka,1
Guy,Jako,1
Guy,Jiraiya,1
Guy,Jonin,1
Grandma,Hinata,1
Grandma,Kisame,1
CHOJI,Chidori,1
CHOJI,Choji,1
CHOJI,Sakura,1
Naruto,lsaribi,1
Naruto,this,1
Byakugan,Tunneling,1
Byakugan,Tyson,1
Byakugan,Yagura,1
Natsuhi,Shisou,1
Natsuhi,Tsunade,1
Bushy-Brow’s,Sharingan,1
Byakugan,Fang,1
Byakugan,Hanabi,1
Byakugan,Ino,1
Byakugan,Ino-Shika-Cho,1
Byakugan,K-Kurenai,1
Ne,Sakura,1
Ne,Sensei,1
Ne,Sharingan,1
Chakra,Kunoichi,1
Naruto,tim,1
Naruto,~FATSO,1
Narutos,jonin,1
Natsuhi,Rasengan,1
Byakugan,Matsuri,1
Byakugan,Menma,1
Byakugan,Moso,1
Natsuhi,Yotaka,1
Natsuhi,star,1
Natsuhi,the,1
Natsuhiboshi,Neji,1
Nawaki,Pervy,1
Naruto,d,1
Byakugan,Raiga,1
Byakugan,Shadow,1
Byakugan,Suzumebachi,1
Byakugan,Tenten,1
Ne,the,1
Byakugan,Komei,1
Byakugan,Lightning,1
Iron,Matsuri,1
Iron,the,1
Iruka,Kabuto,1
Iruka,Leaves,1
Guy,Jutsu,1
Guy,Kabuto,1
Guy,Kanpachi,1
Guy,Kung,1
Iruka,Moegi,1
Iruka,Nara,1
Iruka,Oli,1
Iruka,Sarutobi,1
Iruka,Shino,1
Iruka,Shizune,1
Inu,The,1
Inu,the,1
Bushy-Brow's,Lee,1
Inopig,Sasuke,1
Intense,Lee,1
Ino,Tyson,1
Ino,Uchiha,1
Ino,Yamanaka,1
Ino,–,1
Ino-Shika-Cho,Iruka,1
Byakugan,Karashi,1
Bushy-Brow's,Uchiha,1
Bushy-Brows,Bushy-Brows’,1
Bushy-Brows,the,1
Bushy-Brow’s,Genin,1
Neji,Shikaku,1
Neji,Shinobi,1
Neji,Shizune,1
Neji,Zaku,1
Neji,branch,1
Neji,on,1
Bushy,the,1
Bushy,tim,1
Bushy-Brow,Sasuke,1
Old,Pervy,1
Bushy,Rokkaku,1
Neji,tim,1
Nine,Sakura,1
Nine,Sasuke,1
Nine-Tailed,Shizune,1
Ninja,Owashi,1
Ninja,Palm,1
Ninja,Pervy,1
Neji,Tyson,1
Ninja,Tenten,1
Ninja,head,1
Ninja,in,1
Ninja,Proctor,1
Ninja,Rasengan,1
Ninja,Rasengen,1
Ninja,Rock,1
Ninja,Sannin,1
Guy,Lotus,1
Bushy-Brow's,The,1
Neji,Ran,1
Neji,Rasengan,1
Neji,Rock,1
Neji,Roger,1
Neji,Seimei,1
Neji,Sensei,1
Intense,Sakura,1
Intense,Tenten,1
Inu,Leaf,1
Ino-Shika-Cho,Neji,1
Ino-pig,Sakura,1
Ino-pig,Sasuke,1
Ino-pig,Uchiha,1
Bushy,Ranmaru,1
Granny,Neji,1
Granny,Shadow,1
Granny,Sumaru,1
Gu,Sakura,1
Gu,Sasuke,1
Gu,Zaku,1
Intense,Nanafushi,1
Intense,Neji,1
Bushy,Kiba,1
Bushy,Leaf,1
Ino,Shinobi,1
Ino,Ino-Shika-Cho,1
Ino,Kin,1
Ino,Ninja,1
Ino,Pakkun,1
Grandson,Transform,1
Bushy,Rokusuke,1
Bushy,Sand,1
Bushy,Sansho,1
Bushy,The,1
Bushy,Todoroki,1
Bushy,Tsuzumi,1
Obito,Shinobi,1
Old,Orochimaru,1
Palm,Shikamaru,1
Paradise,a,1
Pervert,Pervy,1
Pervy,Raiga,1
Pervy,Rasengan,1
Owashi,Sasuke,1
Owashi,Tenten,1
Owashi,Those,1
Onbaa,Onbu,1
Onbu,Shadow,1
Old,Tsunade,1
Old,by,1
Ole,Orochimaru,1
Ole,Temari,1
Ole,head,1
Oli,Sakura,1
Bushy,Grandpa,1
Bushy,Ino,1
Bushy,Intense,1
Orochimaru,Rock,1
Burn,Lee,1
Burn,Nawaki,1
Oli,Sarutobi,1
Oli,The,1
Ninja,ramen,1
Ninja,–,1
Ninjas,Sakura,1
Ninjas,Tazuna,1
Ninjas,This,1
Obito,Sasuke,1
Bushy,Cricket,1
Bushy,Genin,1
Ino,Shadow,1
Ino,Sharingan,1
Orochimaru,lt,1
Orochimaru,on,1
Bushy,Jako,1
Orochimaru,Sagi,1
Orochimaru,Sakon,1
Orochimaru,Sanchez,1
Guy,ls,1
Ino,Tunneling,1
Ino,The,1
Ino,Tsuchi,1
Guy,Oli,1
Guy,Raido,1
Guy,Ranmaru,1
Guy,Rokkaku,1
Idate,Sharingan,1
Idate,Shinobi,1
Idate,That,1
Idate,Wagarashi,1
Idate,Wasabi,1
Idate,the,1
Inari,Ninja,1
Guy,Ryudoin,1
Owashi,Tsunade,1
Owwee,Sasuke,1
Pa,Sakura,1
Orochimaru,Transform,1
Orochimaru,Zaku,1
Orochimaru,in,1
Hakkaku,Ichiraku,1
Hakkaku,Ryonin,1
Boulder,KAKASHI,1
Boulder,Neji,1
Boulder,Ninja,1
Boulder,Shikamaru,1
Boulder,ZABUSA,1
Raido,Sasuke,1
Raido,Shikamaru,1
Raido,Shizune,1
Pervy,Rasengen,1
Pervy,Rogue,1
Pervy,Sage,1
Bro,Sasuke,1
Brothel,the,1
Brother,Sasuke,1
Boss,Wasabi,1
Boulder,Hinata,1
Bunzo,the,1
Burn,Chidori,1
Brow,Choji,1
Brow,Crow,1
Brow,Naruto,1
Brow,Sensei,1
Buddha,Jirocho,1
Buddha,Sakura,1
Orochimaru,Sand,1
Orochimaru,Sharingan,1
Orochimaru,Shino,1
Burn,Dan,1
Pervy,Sarutobi,1
Pervy,Sharingan,1
Bunzo,Naruto,1
Bunzo,Shizune,1
Haku,Mommy,1
Haku,Sensei,1
Inari,The,1
Guy,the,1
Guy,this,1
Guy,tim,1
Proctor,on,1
Raido,Rock,1
Haku,Uzumaki,1
Hana,Sakura,1
Hana,Shino,1
Hana,Tsunade,1
Hakkaku,The,1
Hakkaku,ramen,1
Haku,K-Kakashi,1
Haku,Kimimaro,1
Ibiki,Sakura,1
Hyuga,Vendetta,1
Hyuga,branch,1
Hyuga,the,1
I,Kurenai,1
I,Naruto,1
I,ls,1
I-Ibiki,Ibiki,1
Boss,Hokage,1
Boss,Ninja,1
Boss,Sasuke,1
Boss,Shinobi,1
Boss,Uzumaki,1
Pervy,that,1
Pervy,this,1
Ibiki,Ninja,1
Ryuko,Shinobi,1
Ryuko,Wagarashi,1
Ryuko,Wasabi,1
S-Silen,Sensei,1
S-Silen,Zabuza,1
Sagi,Shikamaru,1
Sagi,Shinobi,1
Rogue,Sasuke,1
Raiga,Tenten,1
Raiga,The,1
Bounty,Gosunkugi,1
Bro,Chunin,1
Bro,Hokage,1
Bro,Iruka,1
Bro,Konohamaru,1
Ryudouin,this,1
Rock,Sensei,1
Raijin,The,1
Ran,Rogue,1
Ranmaru,Zabuza,1
Rasengan,Sakon,1
Rasengan,Tunneling,1
Raiga,Rock,1
Raiga,Shinobi,1
Pervy,Tsukuyomi,1
Pervy,Uchiha,1
Pervy,in,1
Pervy,on,1
Renga,Ruiga,1
Renga,Yurinojou,1
Rock,Roger,1
Rock,Sand,1
Ichiraku,Kurosuki,1
Ichiraku,Leaf,1
Ichiraku,Orochimaru,1
Ibiki,Inopig,1
Ibiki,Kabuto,1
Ibiki,Kurenai,1
Ibiki,Lee,1
Roger,the,1
Ichiraku,Sakura,1
Ichiraku,The,1
Ichiraku,Zabuza,1
Idate,Jirochi,1
Ibiki,Sannin,1
Ibiki,Vendetta,1
Ichiraku,Kakashi,1
Ichiraku,Kisame,1
Roger,Tsuzumi,1
Humph,Shizune,1
Humph,Sign,1
Humph,Tayuya,1
Humph,Temari,1
Humph,Tenten,1
Humph,Tsurugi,1
Humph,Tyson,1
Rogue,Sumaru,1
Rogue,Tracker,1
Rokkaku,this,1
Rokusuke,The,1
Rock,–,1
Roger,Rogue,1
Roger,Sakura,1
Roger,The,1
Beast,Yotaka,1
Beeswax,Hinata,1
Bastard,Jirocho,1
Bastard,Naruto,1
Bastard,Sakura,1
Bastard,Sasuke,1
Bastard,Tsunade,1
Bastard,Wagarashi,1
Bikochu,–,1
Billboard,Gaara,1
Billboard,Ino,1
Big,Idate,1
Bikochu,Rasengan,1
Sagi,Tsunade,1
Beast,Sumaru,1
Beast,The,1
Blade,Ninja,1
Blade,Rasengan,1
Bloom,Genin,1
Bloom,Guy,1
Sakon,Sakura,1
Sakon,Tunneling,1
Bikochu,Shino,1
Bikochu,Suzumebachi,1
Rogue,Sannin,1
Rock,Shinobi,1
Rock,The,1
Rock,Todoroki,1
Rock,Tsuzumi,1
Rock,Yakumo,1
Rock,the,1
Black,Gaara,1
Humph,Zaku,1
Humph,a,1
Hyuga,Kazekage,1
Hyuga,Kiba,1
Ayame,ramen,1
Sakon,fatso,1
Sakura,Sarutobi,1
Sakura,Seimei,1
Haruna,Shadow,1
Harutaro,Yagura,1
Hyuga,Uchiha,1
Hyuga,Shadow,1
Hyuga,Temari,1
Hanabi,Naruto,1
Harem,Kakashi,1
Humph,Yoroi,1
Hayate,Sanchez,1
Hayate,Sensei,1
Hayate,Tyson,1
Hiashi,Mark,1
Hiashi,Ole,1
Hiashi,Sanchez,1
Harem,Transform,1
Haruna,Renga,1
Beast,Hokuto,1
Beast,Kujaku,1
B-Bushy,Rock,1
Baki,Gamabunta,1
Baki,Naruto,1
Baki,Shukaku,1
Bastard,Fukusuke,1
Humph,Kin,1
Aoi,Jelly,1
Aoi,Oli,1
Aoi,Shinobi,1
Aoi,The,1
Sand,the,1
Sannin,Sarutobi,1
Sannin,Shinobi,1
Sannin,Toad,1
Sakura,Wagarashi,1
Sakura,Yashamaru,1
Beast,Mizura,1
Beast,Natsuhi,1
Beast,Shadow,1
Beast,Shisou,1
Sakura,Tunneling,1
Saru,The,1
Sakura,lt,1
Sakura,me,1
Sakura,rabbit,1
Sakura,roger,1
Sakura,sonny,1
Sakura,that,1
Sakura,tim,1
Sakura,Ushi,1
Sakura,Shadow,1
Sakura,Shukaku,1
Sakura,Shura,1
Sakura,~FATSO,1
Sanchez,Sasuke,1
Asuma,Genin,1
Asuma,Humph,1
Sakura,ls,1
Humph,Idate,1
Humph,Jiraiya,1
Humph,Jonin,1
Humph,Kiba,1
Sand,Sharingan,1
Sand,me,1
Asuma,Konohamaru,1
Asuma,Neji,1
Humph,Shadow,1
Humph,Shino,1
Humph,Komei,1
Humph,Kunihisa,1
Humph,Kunoichi,1
Humph,Kurenai,1
Humph,Obito,1
Humph,Owwee,1
Hinata,Jonin,1
Hinata,Jutsu,1
Hinata,Kankuro,1
Hokushin,The,1
Hokuto,Kunai,1
Humph,Sakon,1
Humph,Sannin,1
Humph,Sensei,1
Saru,Second,1
Saru,Sensei,1
Asuma,a,1
Attaboy,Genno,1
Sanchez,Temari,1
Sanchez,head,1
Sand,Sarutobi,1
Hoshikage,Kujaku,1
Seimei,The,1
Sensei,Tori,1
Sensei,Unkai,1
Sensei,lsaribi,1
Sasuke,bro,1
Sasuke,ldate,1
Sasuke,lnu,1
Sasuke,sonny,1
Sasuke,Suzumebachi,1
Anbu,Raido,1
Anbu,Sakura,1
Arashi,a,1
Art,Jonin,1
Asuma,Chunin,1
Sarutobi,Shadow,1
Sarutobi,Transform,1
Anko,Uchiha,1
Anko,Yamanaka,1
Anbu,Uchiha,1
Anko,Gekko,1
Anko,Kakashi,1
Anko,Konohamaru,1
Anko,Ninjas,1
Sasuke,Shirker,1
Asuma,Sensei,1
Asuma,Uchiha,1
Anko,Obito,1
Anko,Roger,1
Anko,Sensei,1
Anko,Shadow,1
Anko,Shino,1
Anko,Sound,1
Hokuto,Rogue,1
Hokuto,Shadow,1
Hokuto,star,1
Sasuke,U,1
Aoi,Chidori,1
Aoi,Fukusuke,1
Sasuke,That,1
An,Kurenai,1
Hoshikage,Natsuhiboshi,1
Hoshikage,Shisou,1
Hoshikage,Tsunade,1
Hoshikage,Yotaka,1
Hoshikage,star,1
Hotarubi,Neji,1
Hatake,Ninja,1
Hokuto,Ninja,1
Hokage,Tayuya,1
Hokage,Tazuna,1
Hokage,Toad,1
Hokage,lnari,1
Hayate,Ino,1
Hayate,Naruto,1
Hayate,Ole,1
Hayate,Roger,1
Sasuke,us,1
Satomi,Shino,1
Sasuke,Tora,1
Sasuke,Tsuchi,1
Sasuke,Tsurugi,1
Sasuke,Tyson,1
Hoki,Sasuke,1
Hoki,a,1
Shadow,Shino,1
Shadow,Tenten,1
Shadow,The,1
Akamaru,me,1
Akatsuki,Chakra,1
Akatsuki,Genin,1
Akatsuki,Hokage,1
Akatsuki,Roger,1
Amachi,Anko,1
Amachi,Naruto,1
Amachi,Sensei,1
Amachi,Shino,1
Amachi,lsaribi,1
Sensei,–,1
Senta,Shizune,1
Senta,the,1
Amaterasu,Pervy,1
Amaterasu,Sasuke,1
Ami,Brow,1
Ami,Ino,1
Ami,Sensei,1
Akio,the,1
Alley,Bushy,1
Alley,Guy,1
An,Naruto,1
An,Sakura,1
An,Yuhi,1
Anbu,Hinata,1
Anbu,Kakashi,1
Anbu,Kazekage,1
Amachi,the,1
Amaterasu,Naruto,1
Hidden,Jako,1
Hidden,Kujaku,1
Hidden,Might,1
Hoki,Leaf,1
Hoki,Owashi,1
Shikamaru,Shinobi,1
Anbu,Lee,1
Shadow,Tsunade,1
Hokage,Mondai,1
Hidden,Rokkaku,1
Hidden,The,1
Hoko,Seimei,1
Hokushin,Kakashi,1
Hokushin,Naruto,1
Hokushin,Sagi,1
Hidden,Hoshikage,1
Sharingan,uma,1
Sharingan,ushi,1
Shikaku,Shikamaru,1
Shikaku,Tsunade,1
Hokage,Rasengan,1
Hokage,Roger,1
Hitsuji,The,1
Hokage,McCoy,1
Shikamaru,Shizune,1
Shikamaru,Shukaku,1
Shikamaru,Suiko,1
Shikamaru,Third,1
Shikamaru,Toki,1
Shikamaru,Tunneling,1
Sharingan,Ushi,1
Sharingan,hitsuji,1
Akio,Gon,1
Shikamaru,Udon,1
Shikamaru,Yurinojou,1
Shikamaru,Zaku,1
Akamaru,as,1
Akamaru,him,1
Akamaru,Attaboy,1
Akamaru,Sensei,1
Shino,–,1
Shikamaru,a,1
Shikamaru,as,1
Shikamaru,him,1
Shikamaru,roger,1
Shikamaru,that,1
Akimichi,Kiba,1
Akimichi,Shikamaru,1
Shinobi,sonny,1
Shisou,Tsunade,1
Shizune,Temari,1
Shino,Tobei,1
Shino,Tunneling,1
Shino,Uchiha,1
Shino,Yuhi,1
Shino,on,1
Shadow,Tyson,1
Shadow,the,1
Sharingan,The,1
Sharingan,Tori,1
Shinobi,The,1
Shinobi,Tsunade,1
Shinobi,Wagarashi,1
Shinobi,Wasabi,1
Hokage,Ninjas,1
Hokage,Pakkun,1
Hokage,Pervy,1
Hokage,Poccha,1
Hokage,Raijin,1
Akamaru,Ninja,1
Akamaru,Oli,1
Shizune,Tonton,1
Hokage,Shisui,1
Hokage,Rogue,1
Hokage,Saru,1
Hokage,Second,1
Hinata,Kurobachi,1
Hinata,Lightning,1
Hinata,Misogi,1
Hinata,Murakumo,1
Hitsuji,the,1
Hizashi,Leaf,1
Hizashi,Mark,1
Hokage,Hoshikage,1
Hokage,Hyuga,1
Hinata,My,1
Hinata,Sharingan,1
Hinata,Shizune,1
Akamaru,That,1
Akamaru,Torpedo,1
Shuriken,Zaku,1
Sis,–,1
Sitting,Tsunade,1
Sumaru,Tsunade,1
Tamaya,Tsunade,1
on,–,1
Akamaru,Hinatas,1
Akamaru,Humph,1
Akamaru,Iruka,1
Akamaru,Kidomaru,1
Akamaru,Kimimaro,1
Tori,the,1
Transform,the,1
Tsukiko,the,1
Teuchi,The,1
Akamaru,Leaf,1
Akamaru,Misogi,1
Tayuya,Tunneling,1
Tazuna,The,1
Temari,Tsunade,1
Akamaru,Crow,1
Akamaru,Gosa,1
Akagi,Shugoro,1
Akahoshi,Granny,1
Temari,Tyson,1
Temari,a,1
Temari,the,1
Temari,–,1
Tenten,The,1
Tenten,Tsunade,1
Shizune,lruka,1
Shukaku,–,1
Shun,The,1
Shun,Tsunade,1
Shura,The,1
The,Tonton,1
Akagi,Sasuke,1
Akagi,Senta,1
Tsunada,–,1
Tsunade,Uchiha,1
Tsunade,Yagura,1
Tsunade,Yotaka,1
Tsunade,Yurinojou,1
Tsunade,Yurinoshin,1
Tsunade,bro,1
Agari,Naruto,1
A,The,1
A-Anko,Anko,1
A-Anko,Naruto,1
A-Anko,Shino,1
A-Anko,Yamanaka,1
A-Anko,the,1
ldate,–,1
Abumi,the,1
a,–,1
d,ls,1
fatso,on,1
Yakitori,the,1
Yakumo,ls,1
Yakumo,–,1
ZABUSA,–,1
Zaku,the,1
Akahoshi,Kunoichi,1
Akahoshi,Rogue,1
Akamaru,Anbu,1
Akamaru,Asia,1
The,Tori,1
The,Transform,1
a,in,1
a,the,1
Gaara,Pop,1
Gaara,Ru,1
Gaara,Sensei,1
Gaara,Shinobi,1
Gaara,Tenten,1
Kankuro,Shizune,1
Kankuro,Shikamaru,1
Gaara,Menma,1
Abumi,Sakura,1
Kakashi,Shadow,1
Kakashi,Shijimi,1
Kakashi,Kunoichi,1
Kakashi,Kurosuki,1
Kakashi,Moso,1
Kakashi,Ne,1
Kakashi,Pocha,1
Achilles,Fatso,1
Achilles,Ninja,1
Agari,Hinata,1
Agari,Hokage,1
Tsunade,lruka,1
Tsunade,lt,1
Tsunade,saru,1
Abumi,Naruto,1
Agari,Tsunade,1
Agira,Gensho,1
Agira,Guy,1
Agira,Jako,1
Agira,Rokkaku,1
A,Gamakichi,1
Aburame,Shino,1
Achilles,Choji,1
